rating,title,author,date,aircraft,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,content_clean,trip_verified,sentiment
1,"""Customer Service is non existent""",Gaylynne Simpson,2023-11-14,Couple Leisure,1,1,1,1,1,1,1,no,we traveled to lisbon for our dream vacation a cruise to portugal and spain our friends did not ever get their luggage it was a two week cruise two weeks without a change of clothes or her cpap machine contacting customer service was a nightmare we never talked to a real person very little effort was put into getting them their bags in one port we were on the ship and the bags were at the airport the airlines did not deliver the bags nor did they tell our friends that they needed to go get them the airline couldnt be bothered to take the bags from the airport to the ship ba says it is their policy to get you your bags within 72 hours that is a joke its been over two weeks and they still dont have them they are back home in the us and last they heard the bags were in lisbon if your have a choice do not fly british airways customer service is non existent,Not Verified,Negative
1,"""I can’t imagine a worst airline""",A Narden,2023-11-12,A320,1,1,1,1,1,Not Rated,1,no,booked a flight from bucharest to manchester with a 2h 45 layover at heathrow flight was delayed from bucharest because of atc strike arrived at heathrow 40 minutes later than scheduled and still had enough time to catch my connecting flight unfortunately we were stranded in the plane and waited a very long time to disembark the plane due to lack of staff or slot shortage its a common problem with ba at heathrow i missed my connecting flight because of their delays and they told me i had to wait all night in a freezing airport for the first flight the next day there was just a shameful 10 food voucher which is a joke considering the ridiculous prices at lhr no accommodation offered and had to sleep in a very cold airport i asked for compensation and they sent me a long text with the same lame excuses that they are sorry but they will not compensate anything i cant imagine a worst airline than ba regarding customer care it is not about money here but rather than the way they treat customers it is the last time in my lifetime that i will be flying this joke of an airline,Verified,Negative
8,"""sufficient leg and arm room""",Graeme Boothman,2023-11-08,Boeing 777-300,5,5,4,4,4,Not Rated,4,Yes,booked online months ago and the only hitch was replacement aircraft meaning chosen seats were different i was informed of this prior to departure so could amend bag drop at man t3 wasnt smooth but i suspect that was man fault shuttle boarding was slow and delayed meaning a rush at lhr t5 the flight to cpt was full but we left more or less on time the cabin was clean and pe was what we expected sufficient leg and arm room plus a few little perks with drinks only complaint is the seats actually recline too far staff were very good during the first few hours of service especially george food was quite tasty but one option wasnt loaded breakfast was also quite tasty and we landed on time the fly in the ointment is both our cases arrived late on the carousel and only later did we notice both had been broken into likely at cpt all in all a pleasant surprise,Verified,Positive
7,crew were polite,R Vines,2023-11-07,A320,3,3,3,Not Rated,3,Not Rated,3,Yes,the flight was on time the crew were polite it was the same story on my outward flight i find that ba in europe is generally pretty good though i regret that they have substituted prosecco for champagne on the list of drinks you can buy in economy so many complaints about ba and other airlines revolve around lost luggage that i never check in bags even for long trips,Verified,Positive
2,"""Angry, disappointed, and unsatisfied""",Massimo Tricca,2023-11-05,Boeing 777,4,5,4,4,3,3,5,Yes,angry disappointed and unsatisfied my route was from london to atlanta my suitcase was not boarded therefore not landed with me for both comfort and safety reason a bag always fly with its passenger and that did not happen claims and few phone calls were made by desk assistants who answered my questions unprofessionally and miserably certainly i was left with nothing but my backpack which contained not more than few snacks neither clothes nor anything else was ever provided as an apology meanwhile i was also told that my bag would have been delivered through the next 24 hours which also did not happen british airways is a great airline to fly with but its organization when it comes to customer service is poor and uncertain still waiting for my bag,Not Verified,Positive
3,"""BA now stands for Basic Airways""",J Kaye,2023-11-05,Couple Leisure,3,3,1,1,3,1,1,no,as an infrequent flyer british airways was always my first choice with some reassurance and comfort of service quality luggage allowance etc in fact ive never flown with the budget airlines my most recent flight has now changed my view and causes me to reflect on what am i actually getting for my money and is ba what they once were while the flights were around an hour delayed both ways the cabin and ground staff service were ok it is the facilities or lack of that i am most disappointed by the flight was approx 4 and a half hours and the only thing offered was a half cup of water that was poured out and a bite sized banana slice of cake in fact on my return journey i wasnt even offered the water to top it off ba no longer have a media screen from which you can select something to pass the time away there wasnt even the obligatory flight journey the wifi was poor i couldnt even access the shop however for a fee so much more was available this explains bas record profit of 152bn so the question is what am i paying for i will now for sure opt for the budget airlines they are transparent with what they offer and what you have to pay for which i can decide to choose or not as ba now stands for basic airways ill go elsewhere and get basic for cheaper,Verified,Positive
8,"""A totally unremarkable flight""",M Collie,2023-11-04,A320,3,3,Not Rated,Not Rated,4,Not Rated,3,Yes,a totally unremarkable flight on time as comfortable as european configuration goes no catering due to the storm effect greatly exaggerated this was advised by email and a euro 15 was provided not easy to use but lounge made up for this loss,Not Verified,Negative
1,BA clearly does not care,J Furlong,2023-10-31,Couple Leisure,3,3,3,3,1,3,1,no,1 ground crew in heathrow left 60 passengers luggage we had 3 bags 2 the heathrow ground crew left 1 of ours behind after the 1st two were received the next day 3 the heathrow ground crew lost our 3rd bag 4 times and we were on the phone with them for over 3 hrs over the course of the week 4 due to this we had to spend 500 on health and beauty items for my wife on our cruise 5 british airways said they might reimburse after 3 months 6 we had to spend 100 in cab fare to barcelona because the bacelona ground crew iberia claimed they had delivered it to us 7 heathrow ground crew made us 15 minutes late arriving back into heathrow after our cruise we actually landed 10 minutes early but those incompetent people still were not ready for us 8 the heathrow ground crew caused us to leave 45 minutes late even though all passengers were boarded and ready 15 minutes before the departure time this will probably mean we will miss our connection in anchorage ba clearly does not care or know how to operate a ground baseshameful ba is a joke and should be embarrassed they cant operate like a normal airline they do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people,Verified,Negative
6,"""reflect a downward trend of the airline""",C Barton,2023-10-28,A320,3,1,1,Not Rated,3,1,2,no,london heathrow to gibraltar on 24th october 2023 i shall start by reference to the booking process i used the ba website to reserve the seat and food the website to be easy to use and clear in every aspect the flight was due to depart from terminal 3 but the passengers were bussed for a good 15 minutes to a different part of the airport where the aircraft was on a stand when boarding the flight the cabincrew kept a very low profile and this was maintained during the entire flight the captain made 3 brief announcements during the flight there was no inflight entertainment the seats were clean and comfortable enough for a short flight the lack of catering was overt other than a tiny bottle of water and an inedible breakfast bar one had to use an online system to order even a drink and of course pay for it too the passengers next to me could not use the online system as it doe not seem to work and the cabin refused to sell them a coffee because of this fault moreover the usb charge points did not work either given the early hour of the flight it is a poor show that there are not even for sale items available from a trolley service the system ba have in place is not good enough the flight arrived ontime the disembarkation was inefficient though and poorly managed and the crew were not to be seen the crew were wearing the new ba uniform and it seems to reflect a downward trend of the airline to be candid there was any difference between this ba service and that of socalled budget rivals on this route ba have a monopoly and so i did not have an option to use the services of a different company,Verified,Positive
8,"""One of my better flights""",M Davidson,2023-10-24,Couple Leisure,4,5,4,3,5,Not Rated,5,Yes,first time flying british airways and i would not hesitate to fly economy with them again flight attendants were pleasant and efficient excellent special meal low sodium comfortable space in economy one of my better flights,Verified,Positive
7,"""I would still recommend BA""",Michael Gardiner,2023-10-23,A321 neo,3,5,3,Not Rated,5,Not Rated,2,Yes,i flew london to cairo and return in october 2023 it was basically a perfectly good pair of flights in economy with pleasant and professional cabin crew especially on the return journey being only 173 m tall i have no problem with legroom in the back of the plane the seat was ok if getting a little numbing after 5 hours and the return of a rather good included snack box and drinks was welcome however it must be said that the value for money was poor with a checked bag on the return leg only this was a nearly 700 ticket and although i am content to pass the time by reading or sleeping it was surprising to find no inflight entertainment on 5hour flights however overall i would still recommend ba and would do so even more enthusiastically if it was more sensibly priced,Not Verified,Positive
1,"""the worst experience ever""",Terry Anderson,2023-10-22,Couple Leisure,2,3,3,3,1,3,1,no,absolutely the worst experience ever flew into heathrow no problem waited for 5 hours three extra hours for our connection to porto then the cancelled the flight scrambled for a hotel and a new flight the next day they routed us through madrid the next morning that flight was 15 hours late so we missed our connection to porto because we missed the connection their fault they cancelled our return flights after two hours on the phone with customer service from the madrid airport they booked us a new return flight then they made is pay 1300 to fly from madrid to porto then for no reason they cancelled our return flight again after hours and hours and hours with customer service we finally got a return flight five days after our original return flight meanwhile they lost my wifes luggage we finally got 15 days after they lost it return flight more problems with our reservations at no point was british airways helpful they left the onus on us to fix their mistakes at every turn they completely ruined a three week vacation and they dont care they wouldnt even let us speak to a supervisor or manager awful bordering on passenger abuse,Not Verified,Negative
8,"""an exceptional crew member""",Philip Thompson,2023-10-22,A320,4,5,3,Not Rated,4,Not Rated,4,Yes,flew back from malta after scattering our sons ashes at his favourite spots when we boarded the aircraft for our return flight my wife became upset a member of the cabin crew noticed this and immediately spoke to my wife and tried to reassure her her name is tracey an exceptional crew member i noticed she spoke to other travellers in a courteous manner and was friendly each time she passed my wife she asked how she was and would she like anything this kindness made a difficult time easier for us both aircraft seats were comfortable and service good for a 2hrs 45mins flight thank you ba,Not Verified,Positive
3,"""even Ryanair have more space""",M Meijs,2023-10-21,Solo Leisure,1,3,Not Rated,Not Rated,2,Not Rated,1,no,cabin luggage had to go to cargo even when i said i carried medicines there was no time to get them out the hand luggage the economy seats with virgin atlantic klm and even ryanair have more space luckily it was a short flight,Not Verified,Positive
4,"""in-flight service is usually weak""",Mehmet Sahiner,2023-10-21,A380-800,3,2,2,3,2,Not Rated,3,no,i have been using ba for a while now and on average i cannot say that i am pretty satisfied ba somehow experience cancellations and delays most of the time second the inflight service is usually weak food portions are small and cabin crew is not very helpful especially when it comes to drink requests the screens in the a380s should be renewed as they are full of scratches and same size as a321s especially in longer flights the entertainment system becomes more important there is also no welcome package except for pillow and small blanket i would expect more from ba if you are flying from the us to anywhere except the uk i would recommend considering other airlines but if you are flying tofrom uk directly then ba could be one of your choices,Verified,Positive
1,"""BA customer service is a disgrace""",T Meares,2023-10-19,Solo Leisure,2,1,1,1,2,1,1,no,i flew from istanbul to london in business class for more than half of the flight a child was watching an ipad very loud with no phones plugged in it was three rows in front of me and disrupted my flight as i could hear it above my headphones staff thought this was fine and refused to tell the mom to turn it down why is this acceptable on a flight especially in business class has this airline turned into a zoo are staff given no training in customer service why is a child allowed to disrupt other passengers when i told the staff she just laughed at me ba customer service is a disgrace ive not even mentioned the food but it was bad really bad,Verified,Negative
1,"""little concern for customer service""",Mark LaForest,2023-10-19,Couple Leisure,1,1,1,5,1,Not Rated,1,no,i have flow on ba several times since the airline started nonstop service between austin tx and london heathrow every year the service gets worse i brought a tape measure with me to see how far apart the seats are in the economy section 25½ inches ba has removed bathrooms in order to squeeze a few more rows of seats onto the aircraft thankfully im not a big person and was able to squeeze into my seat without being too uncomfortable when ba first started flying out of austin the food was great now when i arrive at heathrow i get real food and take it on the plane with me i dont know where or who makes bas food but it is not eatable if ba did not have a direct flight from my hometown to london i would fly with a different airline when we checked into heathrow the line was extremely long and only one person was checking people in it took nearly an hour to get to the counter i understand airlines are making record profits and need to make up lost revenue from the pandemic but i think ba has gone too far and has little concern for customer service in pursuit of profits,Not Verified,Positive
1,"""gave up being a full-service airline""",A Gernal,2023-10-17,A320,1,2,1,Not Rated,1,Not Rated,2,no,the flight departed over an hour late due to a late inbound plane the plane was very full and half of the economy class passengers were forced to check in their larger cabin baggage at the gate when boarding making a complete mockery of the hand luggage allowance advertised lots of passengers on board were stressed out about missing onwards connections due to the delays and some did miss them as their next gates had closed by the time we disembarked at heathrow onboard service was ok but minimal ba gave up being a fullservice airline some time ago more concerning is that trying to get hold of customers services to make changes to bookings and deal with problems was nonexistent the airline seems to make it deliberately hard for its customers to contact it,Verified,Negative
1,I hate British Airways!,S Carter,2023-10-17,Couple Leisure,1,3,3,4,1,Not Rated,1,no,i hate british airways we get to london on oct 3 and our next flight is cancelled we stand in line with 1200 other people to get it fixed and they tell everyone to leave the airport and call them to fix they book us the next dayvia online dont offer vouchers for hotel we will miss our tour now trying to get home from istanbul plane is here but should have started loading an hour ago no explanations may miss next flight will never travel with them again was this same problem april 2022 flight,Verified,Negative
5,"""2½ hours before the bags finally arrived""",J Horner,2023-10-16,A320,4,5,4,Not Rated,1,Not Rated,4,no,our ba flight from porto to london heathrow t5 was operated by finnair using a finnair plane and crew this had been advised by ba shortly after booking with the option to change flights if we preferred although the business class cabin was of a similar layout to ba club europe ie with the middle seat kept free my wife and i felt the seats were more comfortable and the legroom slightly better service was good on board and the meal was very tasty we chose the beef cheeks all was good until we landed at heathrow although we passed through passport control without delay once we were at the designated baggage reclaim we just waited and waited after an hour and ten minutes i went to the ba baggage counter to ask what was going on they seemed unaware of an issue but said they would find out over the next hour or so various other passengers also requested information and despite various announcements and a list of different excuses it was almost 2½ hours before the bags finally arrived frustrating to say the least i subsequently complained to ba but after 4 weeks there has been no explanation just the automated message from customer services we are experiencing exceptionally high volumes this response says a lot,Verified,Positive
3,"""left on your own and nobody cares""",N Anderson,2023-10-14,A320-232,2,4,1,Not Rated,1,1,4,no,the customer services call centres etc are atrocious and sometimes callous they just dont care long waits to speak to anybody who then have no power to actually solve anything and the calls just cut halfway without resolution anyway if the flights are cancelled as were my original ones youre really left on your own and nobody cares the onboard services are soso but for short haul its now semilow cost which is confusing as you never know what to expect this time we were given a bottle of water and a very small snack whilst anything else had to be paid for and yet on some other flights apparently you have to preorder any additional food its confusing which makes it not dependable cabin baggage is in theory generous compared to competitors in economy but then they asked more than half the passengers on this flight to check in the cabin baggage at the gate due to lack of space in the overhead cabins leading to long boarding delays their whole offering hasnt been thought through very well the usb power supply did not work throughout the flight contrary to the announcement that the power be available after the seatbelt sight was turned off so it was pointless providing the sockets in the first place not my first choice airline on this route and am just trying to use up most of my avios points before i totally abandon them i fail to see how it is deemed a 4 star airline,Verified,Positive
5,"""Club Europe is simply a joke""",M Dale,2023-10-14,A320,3,4,1,1,3,1,2,no,i am a frequent flyer with ba and have been for the last 15 years having noted the ratings given frankly i cannot understand how ba scores three stars for most aspects of its service in a nutshell ba has placed profit margins over passenger appreciation this fact was hammered home on my return leg which was not in club europe quite alarmingly ba appears to place profit over passenger safety by extending its business class seating up to and beyond emergency exit rows and then failing to ensure those seated in exit rows have the physical capacity to actually open the door incase of an emergency i was not at all reassured to see an elderly and slightly built woman seated with the responsibility of opening the overwing exit should the need have arisen shorthaul business club europe is simply a joke and only useful for gaining valuable tier points for loungepreboarding benefits while cabin crew service is excellent the lack of space and reduction in refreshment choices etc places them a million airmiles behind competing airlines such as qatar turkish or emirates who understand the true definition of customer appreciation and hospitality ba has consistently eroded the value of their executive club and seems to be of the impression that recent changes in obtaining avios points during the booking process benefit passengers really i want to support ba and did enjoy flying with them up to the point when they started penny pinching and became more deserving of the name budget airways the attached photos taking during my most recent itinerary highlight the difference in customer careappreciation between british airways and another airline used in this trip both flights were around 4 hours in duration on the same day guess which one is shows bas inflight offering,Verified,Positive
4,"""Very second rate shoddy airline""",J Tydeman,2023-10-12,Couple Leisure,3,3,3,2,2,Not Rated,2,no,flew with ba to punta cana took the trouble to reserve seats for both outbound and inbound flights on boarding at gatwick realised we had been moved to much less good seats with other people sitting in the seats we had spent a lot of money reserving apparently there has been a change of aircraft and a number of passengers had been automatically reallocated seats for no particular reason the crew said there was nothing they could do although of course they could just have swapped us with the couple using our seats we were told to claim a refund on return home we did this via a complaint form ns ba offered us 100 in vouchers we didnt accept this as it was less than the cost of the seats and also naturally we wanted our money back we eventually got it but not without a fight very second rate shoddy airline,Not Verified,Negative
1,"""some sort of medieval torture""",Hugh Kilpatrick,2023-10-12,Solo Leisure,1,5,3,3,5,Not Rated,1,no,they downgraded me from business to premium economy they took three months to get back to me and offered me 200 pounds or 400 aud the difference between business class and premium economy which i never fly is 3000 aud and the difference between economy and business is 6500 aud they owe me at least 1500 pounds and to be very fair 3250 pounds the downgrade was insulting and incredibly painful as i had a recent cancer operation and have a back injury which i have pointed out to them i need to lie down the wait for them to get around to me has been numbing the insult of their offer has been the slap in the face to continue my degradation the people i have dealt with at the airport have been down to earth honest hard working people the actual staff on the plane were warm and friendly and helpful the systems under which ba operates are some sort of medieval torture,Verified,Negative
1,"""Never again BA""",Glenn Taylor-Biffen,2023-10-11,A320,1,1,1,Not Rated,1,Not Rated,1,no,the already delayed aircraft landed and apart from the small ba logo on the rear of the fuselage there was no indication as to whom the carrier really was boarding turned into a farce with passenger groups being told to wait in one queue in order to board only to be informed we were on the wrong place and our boarding wasnt allowed yet the interior cabin was reminiscent of a ba cabin from twenty years earlier except the tight legroom and uncomfortable seating which made a budget airline feel luxurious the crew were not ba but from an unknown charter company service was slow and as usual choices of food to purchase ran out before theyd reached row 24 i requested a cup of tea which never appeared thank goodness for my airport purchased water and the tiny offering of pretzels the over officious senior flight attendant whod been facilitating in club europe appeared in economy and immediately slammed down the armrests whilst still in mid flight making an already uncomfortable journey feel worse cattle class was definitely that to say i was happy to land and disembark was an understatement never again ba never again,Verified,Negative
2,"""BA Gatwick are not BA""",Glenn Taylor-Biffen,2023-10-11,Couple Leisure,Not Rated,Not Rated,Not Rated,Not Rated,1,Not Rated,1,no,caught up in the gatwick cancellation fiasco at some point between what was smooth check in unable to do online as part of group travel and security the flight was cancelled we were denied entry to security and departures as a result it was at this point that we discovered ba gatwick are not ba but a masquerade who are unable to help and and provide very little assistance unless the real ba provide information and even though our baggage was now airside didnt have a clue as to how we could get it back it is however with thanks to a supervisor from business class check in who came to our assistance and help with our predicament baggage retrieval information on what to claim and how and our revised ba flight from lhr the following evening difficult to give a rating for cabin service as we didnt even board the aircraft,Verified,Negative
1,"""Boarding flight took an hour""",S Harten,2023-10-10,A321,3,1,1,Not Rated,1,Not Rated,1,no,ba has a real problem with boarding its flights those who get on first fill the luggage bins with 2 bags one of which is supposed to be small and under seat only cabin staff dont bother implementing their own rules subsequent passengers mill up and down the aisle bumping into each other searching for space boarding this flight took an hour as a result of this nonsense the incoming flight was late already so our 90 minute flight was 90 minutes late,Verified,Negative
1,"""our luggage was soaking wet""",Terry Thomason,2023-10-08,Couple Leisure,3,3,1,4,1,4,3,no,our connecting flight from london to glasgow was canceled and we were forced to wait 12 hours in the airport for a new flight when we received our luggage at glasgow we discovered that our luggage was soaking wet my wifes luggage contents were wet and had to be air dried,Verified,Negative
1,"""The worst airline I have ever flown""",T Hanson,2023-10-07,Boeing 787,1,1,2,1,1,Not Rated,1,no,the worst airline i have ever flown with allocated the very back row next to the toilets and galley no chance of getting any sleep question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology would have been better sitting in the luggage compartment,Verified,Negative
10,"""Excellent service levels""",Peter Costello,2023-10-07,Boeing 777,5,5,5,4,5,5,5,Yes,excellent service levels proactive crew and superb food and beverages i found all aspects of the service to be superior to ba business class even the new ba club suites first class felt exclusive the dedicated crew were clearly used to working the premium cabin enjoying their work were proactive friendly very respectful and the food and beverage offering a considerable step up from business class the seat with sliding double doors was spacious well designed and very comfortable british airways offered a solid first class service from concorde lounge to boarding which was actually by group number for a change to the very warm and genuine welcome on boarding a consistent solid comfortable service from start to finish and if the price was right i would not hesitate to book first class with british airways again,Verified,Positive
1,"""British Airways was absolutely shocking""",Kane Kelly,2023-10-05,BA366,1,1,1,1,1,1,1,no,booked a very special holiday for me and my partner september arrived and we were on our way to lovely south of france booked business class for us both to start the holiday right as we were checking i was told the flight was over booked and our seats wouldnt print onto the ticket for some reason we had already made sure the seats were booked when we had booked the flights nearly a year prior to going unfortunately when we arrived at the gate we were then told we would no longer be sat together and one of us would in fact have to go into economy my girlfriend is an extremely nervous flyer and so had to take extra tablets to remain calm she didnt have any food which we had pre booked also and she was sat right down the bottom end of the flight we were held at the gate with another 4 or 5 couples all in the same predicament all due to the lovely money grabbing british airways over booking the flight they ended up refusing passengers in the end and even had people sat on the fold down chairs in the toilet area when we eventually arrived in france late we was waiting for our luggage to come our airtags stated that both our cases was in fact still in heathrow we then had to wait 4 days for them to eventually come into france by this point our holiday was ruined british airways was absolutely shocking we couldnt speak to anyone as all the phone numbers were no longer in use we felt stranded in a foreign country with no clothes and no one to help use with what to do next every day we watched them case not moved as we were tracking with air tags it was so frustrating not being able to plan our days in hope we would get the call to then drive all the way back to the air port 2 hours each way to collect our cases we ended up going out and buying new clothes toiletries and all the stuff to make the best of our ruined holiday saving all the receipts thinking we would be able to claim it all back how wrong i was british airways take zero responsibility and fob me off with going through my insurance british airways only pay for basic essentials pants and toothpaste i filed a complaint when i got back and requested my money back for business class and they havent even had the decency to even respond they are an absolute joke of a company and i wish they would remove british out of there name because there is nothing british about them do not give them your money they cant even look after their staff let alone customers oh and dont bother trying to cancel your flight either as they just take all of your money off you and give you nothing back,Not Verified,Positive
2,"""service was mediocre at best""",Gary Storer,2023-10-03,A380,2,3,1,Not Rated,2,Not Rated,2,no,just returned from chicago flew out 10 days ago on american airlines absolutely superb in every way had high expectations on return flight with ba what a disappointment the airbus a380 may be nice from a pilots perspective but as a passenger it was awful very uncomfortable seats the inflight entertainment and flight tracker failed to work throughout the flight the inflight meal was inedible and the service was mediocre at best our short flight from heathrow to manchester was much improved very welcoming and attentive in flight staff and the flight even arrived early in future we will travel with one of the american carriers,Not Verified,Positive
2,"""BA standards continue to decline""",A Jensen,2023-10-02,A320,2,1,2,Not Rated,1,1,1,no,ba standards continue to decline every time i fly with them this time a 45 min late departure which seems the norm for ba and no information from the rude and clueless boarding gate staff the club lounge was overcrowded dirty and grubby and cleaning staff could not cope how many more cutbacks is ba going to apply before they become truly low cost as a 35 year veteran user of ba while people complained of alex cruz cutting costs the past 3 years has seen them decline very quickly under their latest ceo one reads the occasional article about ba improving things but i have yet to see anything substantive there seem to be few british staff left amongst the cabin crew so maybe time for a name change and give the flag carrier status to a proper lowcost and sadly the staff service has declined year on year onboard the catering remains poor and surprised that doco can produce such rubbish meals when i have sampled their turkish airlines equivalent in august that was superb guessing ba are too tight with their budget onboard wifi service is a joke and should be avoided,Verified,Positive
2,"""won the race to the bottom""",John Rockett,2023-10-02,A320,2,3,2,Not Rated,1,Not Rated,1,no,awful business class check in queue just as long as for economy probably because half of the desks were not staffed and terminal 5 is chaotic business lounge overfull couldnt get seats delayed flight unmanaged chaos at the gate no drink on boarding first drink served an hour after takeoff the meal was poor used to get better in economy on other airlines british airways has won the race to the bottom of the cheapskate stakes not looking forward to the flight home,Not Verified,Negative
3,"""Not a reliable airline""",Tatiana Bobrovskaya,2023-10-02,A320,4,4,2,Not Rated,1,Not Rated,1,no,not a reliable airline you cannot trust the timing at all i had a 645am flight boarding was on time but then we are sitting in the plane for already 15 hours and the expected departure is still not clear they have discovered the engine is not working i am risking to be late for a business meeting in geneva how come they bring a not working plane to the gate the funny thing is that i had another business trip in spring 2023 also with ba to amsterdam when i arrived to the airport that time i was told i dont have a seat i was put on the next flight in several hours which should have get me to the business meeting late but still not too much a lot of stress in the end on the second plane we were sitting in the cabin for 15 hours and i have missed the meeting i thought it was a dramatic unlucky case that time but today i see its routine for ba not to fly on time,Verified,Positive
1,"""It is a national disgrace""",A Dawson,2023-09-30,Couple Leisure,1,1,1,1,1,1,1,no,i take comfort in reading the last ten or so reviews to see im not the only traveller to put in words how absolutely abysmal british airways are the only reason we are stuck using this awful airline is to use up points we booked club europe months ago london to athens sat in row 3 and told they had run out of food options only choice was lentil pie or green curry returning athens to london club europe couldnt check in online as promised so arrived at the airport 3hrs early to be told they had overbooked the flight and basically we were being bumped to economy this airline fails to deliver time and time again it is a national disgrace and i implore everyone to choose an alternative,Verified,Negative
3,"""The worst journey in my life""",Massimo Garavaglia,2023-09-30,Business,3,3,2,4,1,1,1,no,the worst journey in my life the connection time at lhr was only 1 hour but the flight from mxp was on delay i had to rush to change terminal by train and arrived risking a heart attack after that the plane just stayed there for another 40 minutes despite that upon arrival at sjc my baggage was lost i filled the form and gave to the employee i was not given any receipt so i did not have any reference number ba phone number at sjc simply never answer i called twice the toll free number and realized they did not record the delivery address i had to enter myself online dealing with a shitty website they delivered the baggage three days later i claimed for compensation online as i had to buy clothes and other stuff and i did never get a receipt i was expecting an upgrade for the flight back to mxp but nothing happened neither they allowed me to enter ba lounge at sjc bad customer service the only positive side was price but obviously this cannot justify this treatment and if i knew i would never flown by ba never again,Verified,Negative
4,"""Very disappointed""",Tom Slowbe,2023-09-28,777-300 and A320,1,4,4,3,3,3,2,no,the airplanes and the lounges are worn out old and broken from dallas to heathrow multiple first class seating and electronics were non functional and poorly designed the first class seating from heathrow to dubrovnik was nothing more than a tray blocking the middle seat of a standard coach ticket very disappointed,Verified,Negative
1,"""the service was shockingly bad""",E Anderson,2023-09-28,A321,2,1,1,Not Rated,1,Not Rated,1,no,one of the worst experiences on the worst airline the flight was delayed due to earlier technical issues the time slipped from 1700 to 2000 to 2200 and finally cancelled there was zero information given despite paying well over the odds for business class we were booted out of the ba lounge two hours before the flight when it was finally cancelled the ba staff without explanation told everyone to go to a gate after another hour or so they made us re enter the uk via passport control a further 40 minute wait by now the airport was closing and there was no sign of our bags or any help from ba a passing gatwick engineer finally helped us locate the bags ba completely washed their hands of us and in contravention of caa rules refused to find us accommodation many slept in a bus stop overnight there were people with young children who couldnt find somewhere to stay and yet ba had closed down and left the following day the replacement flight was also late and due to an admin mistake had no catering or liquids for a 2 12 hr flight overall the service was shockingly bad the worst i have experienced from any airline i will not ever use them again,Verified,Negative
1,"""Never again will I fly BA""",C Horden,2023-09-27,Couple Leisure,1,1,1,3,2,Not Rated,1,no,cancelled our flight lastminute then moved us onto a flight 2 days later operated by japan airlines we had paid a lot extra for extra legroom seats as i am very tall and they assigned me a middle seat deep in the middle of the plane because it was operated by a different airline but booked by ba neither ba nor the other airline could change my seat over the phone despite seats being available after 4 hours of waiting in queues and sitting on hold their solution was for me to arrive early at the airport i did but the seats had already been given away for free by people who had booked directly with that airline and could check in online i got a 10 meal voucher as compensation for this enormous downgrade on a 14 hour flight never again will i fly ba i would rather fly indirect with better airlines than use this disgrace of an airline again,Verified,Positive
1,"""never fly this awful airline again""",P Cooper,2023-09-23,Solo Leisure,1,3,2,1,1,1,1,no,i had a flight from miami florida to dublin ireland via londons heathrow airport the outbound flight from miami was delayed and we were further delayed when our gate was occupied when we arrived in heathrow the total delay was roughly an hour but it was enough to make our connection a challenge where we had 73 minutes between original arrival time until the departure time to dublin when we headed to our connection flight we were stopped by security personnel at a checkpoint and told us that the gate to our connection flight had already closed this was twenty minutes prior to departure time they ushered us to customer service to be rebooked given the busy weekend of travel we were rebooked on a flight at a different airport and were told that our cost to get there would be reimbursed we then waited 3 hours for our luggage and then took a cab to londons city airport the cab fare was roughly 500 when i filed a claim with british airways they refused the claim and told me that we had plenty of time to make our connecting flight and therefore they denied my claim to be reimbursed for the cab fare this is after i explained that it was british airways employees who ushered us to rebook the flight despite the 20 minute timeframe to make the connecting flight the person who rebooked us told us it was policy that they close the gate 20 minutes prior to departure i will never fly this awful airline again given the other feedback on this site it appears that that is the overwhelming sentiment,Verified,Negative
1,"""I’ll never fly with them again""",Bruce Friedman,2023-09-22,Business,1,3,3,Not Rated,1,1,1,no,we started our day with ba in prague the flight actually left on time i came to find out thats very unusual we purchased business class seats as you can see from the picture they hardly were business class all they did was block off the middle seat in the first few rows and called it business class horrible flight in addition i had a really rude rude check in clerk basically yell at me when i excused myself and asked if she could give a little bit of priority to the many business class passengers who werent being served then we got to heathrow and the real fun began we had a 4 hour delay they gave us about 5 different excuses for the delay i had a few employees walk away while i was asking them questions they were very rude at one point there were no employees left and from the announcements it seems virtually every ba flight was delayed and there were no weather issues there was no place to comfortably store items in business class ive never experienced that before not even a cup holder for my bottle of water the seat controls didnt work well you had to keep pushing the buttons to get them to do anything the power outlet didnt work there was no internet the entire flight the overhead luggage bin was too heavy i almost got a hernia having to close it this is a horrible airline ill never fly with them again if i could give zero stars i would,Verified,Negative
1,"""the worst of the worst""",R Barton,2023-09-22,Business,1,1,1,1,1,1,1,no,i fly british airways weekly not because i want to but because they own the route theres no other option therefore they frankly dont have to care about the customer the flights are always delayed and its always someone elses fault be it weather delays to incoming aircraft or flight traffic control issues ive heard it all and for the life of me cannot understand why they are allowed to operate ive been around the world and traveled with all of the worlds airlines but british airways are really the worst of the worst its such a shame to have watched what used to be a good company fall down a cliff my advice is if you have an option to fly with anyone else then exercise the option but if youre flying with different connections and you have a tight schedule do not expect ba to get you to your destination in time,Verified,Positive
